material,cell source,cell tissue,time (hr),test,test indicator,viability (%),Hydrodynamic diameter (nm),Cell type,Molecular weight (g/mol),AR,IR,X,E,pot
3,4.0,7.0,72.0,20.0,4.0,58.091,20.0,84.0,208.9804,,,,,
3,4.0,7.0,96.0,20.0,4.0,34.44,20.0,84.0,208.9804,,,,,
3,4.0,14.0,12.0,20.0,4.0,92.593,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,83.951,20.0,59.0,208.9804,,,,,
3,4.0,14.0,48.0,20.0,4.0,59.259,20.0,59.0,208.9804,,,,,
3,4.0,14.0,72.0,20.0,4.0,46.914,20.0,59.0,208.9804,,,,,
3,4.0,14.0,96.0,20.0,4.0,32.593,20.0,59.0,208.9804,,,,,
3,4.0,7.0,12.0,20.0,4.0,94.053,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,93.776,20.0,84.0,208.9804,,,,,
3,4.0,7.0,48.0,20.0,4.0,77.04,20.0,84.0,208.9804,,,,,
3,4.0,7.0,72.0,20.0,4.0,63.209,20.0,84.0,196.966569,,,,,
3,4.0,7.0,96.0,20.0,4.0,56.708,20.0,84.0,196.966569,,,,,
3,4.0,14.0,12.0,20.0,4.0,90.617,20.0,59.0,196.966569,,,,,
3,4.0,14.0,24.0,20.0,4.0,85.185,20.0,59.0,196.966569,,,,,
3,4.0,14.0,48.0,20.0,4.0,66.173,20.0,59.0,196.966569,,,,,
3,4.0,14.0,72.0,20.0,4.0,54.815,20.0,59.0,196.966569,,,,,
3,4.0,14.0,96.0,20.0,4.0,46.173,20.0,59.0,107.8682,,,,,
3,4.0,7.0,12.0,20.0,4.0,95.021,20.0,84.0,107.8682,,,,,
3,4.0,7.0,24.0,20.0,4.0,91.425,20.0,84.0,107.8682,,,,,
3,4.0,7.0,48.0,20.0,4.0,77.87,20.0,84.0,107.8682,,,,,
3,4.0,7.0,72.0,20.0,4.0,66.667,20.0,84.0,107.8682,,,,,
3,4.0,7.0,96.0,20.0,4.0,54.08,20.0,84.0,107.8682,,,,,
2,4.0,25.0,24.0,21.0,15.0,28.349,2.0,15.0,107.8682,1.35,1.51,2.54,2.309,1.69
2,4.0,25.0,24.0,21.0,15.0,54.984,2.0,8.0,107.8682,1.35,1.51,2.54,2.309,1.69
2,4.0,25.0,24.0,21.0,15.0,24.611,2.0,15.0,107.8682,1.35,1.51,2.54,2.309,1.69
2,4.0,25.0,24.0,21.0,15.0,30.218,2.0,8.0,107.8682,1.35,1.51,2.54,2.309,1.69
2,4.0,25.0,24.0,21.0,15.0,21.028,2.0,15.0,107.8682,1.35,1.51,2.54,2.309,1.69
2,4.0,25.0,24.0,21.0,15.0,19.938,2.0,8.0,107.8682,1.35,1.51,2.54,2.309,1.69
0,4.0,15.0,24.0,10.0,1.0,88.421,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,78.421,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,39.737,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,68.158,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,49.737,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,24.474,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,33.947,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,5.5263,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,4.2105,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,20.526,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,0.26316,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,2.6316,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,10.789,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,0.26316,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,2.3684,20.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,107.42,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,98.516,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,96.142,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,101.09,40.0,28.0,231.53262,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,90.603,40.0,28.0,231.53262,1.6,1.29,1.93,1.304,0.8
